SymInit: Symbol-SearchPath: '.;E:\Clownfish\ClownfishVoiceChanger;E:\Clownfish\ClownfishVoiceChanger;C:\WINDOWS;C:\WINDOWS\system32;SRV*C:\websymbols*http://msdl.microsoft.com/download/symbols;', symOptions: 530, UserName: 'shaik'
OS-Version: 6.2.9200 () 0x100-0x1
E:\Clownfish\ClownfishVoiceChanger\ClownfishVoiceChanger.exe:ClownfishVoiceChanger.exe (00007FF7B8940000), size: 843776 (result: 0), SymType: '-nosymbols-', PDB: 'E:\Clownfish\ClownfishVoiceChanger\ClownfishVoiceChanger.exe', fileVersion: 1.6.6.0
C:\Windows\System32\Windows.ApplicationModel.dll:Windows.ApplicationModel.dll (00007FFA6FEC0000), size: 983040 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\Windows.ApplicationModel.dll', fileVersion: 6.2.22000.37
C:\Windows\System32\speech_onecore\engines\tts\MSTTSLoc_OneCore.DLL:MSTTSLoc_OneCore.DLL (00007FFA75950000), size: 798720 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\speech_onecore\engines\tts\MSTTSLoc_OneCore.DLL', fileVersion: 10.3.21207.0
C:\WINDOWS\SYSTEM32\WINMM.dll:WINMM.dll (00007FFA86470000), size: 208896 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\WINMM.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\wdmaud.drv:wdmaud.drv (00007FFA85020000), size: 286720 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\wdmaud.drv', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\ksuser.dll:ksuser.dll (00007FFA87180000), size: 36864 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\ksuser.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\AVRT.dll:AVRT.dll (00007FFA85F00000), size: 45056 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\AVRT.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\msacm32.drv:msacm32.drv (00007FFA864E0000), size: 53248 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\msacm32.drv', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\MSACM32.dll:MSACM32.dll (00007FFA864C0000), size: 122880 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\MSACM32.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\midimap.dll:midimap.dll (00007FFA864B0000), size: 45056 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\midimap.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\resourcepolicyclient.dll:resourcepolicyclient.dll (00007FFA88710000), size: 86016 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\resourcepolicyclient.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\system32\wtsapi32.dll:wtsapi32.dll (00007FFA86AC0000), size: 81920 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\system32\wtsapi32.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\system32\napinsp.dll:napinsp.dll (00007FFA700C0000), size: 94208 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\system32\napinsp.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\system32\pnrpnsp.dll:pnrpnsp.dll (00007FFA6ECF0000), size: 110592 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\system32\pnrpnsp.dll', fileVersion: 6.2.22000.1
